Country,GDP,GDP YoY,GDP QoQ,Interest rate,Inflation rate,Jobless rate,Gov. Budget,Debt/GDP,Current Account,Currency,Population
Sudan,97,0.049,,0.142,0.2949,0.195,-0.016,0.79,-6.5,6.41,40.24
Ukraine,91,0.02,0.005,0.14,0.124,0.092,-0.016,0.79,-0.2,27.56,42.76
Slovakia,87,0.03,0.007,0,0.002,0.088,-0.03,0.529,0.3,1.07,5.43
Sri Lanka,82,0.041,0.041,0.07,0.041,0.045,-0.074,0.76,-2.4,149.75,20.96
Cuba,81,-0.009,,0.0225,0.045,0.024,-0.057,0.171,0.1,1,11.24
Syria,74,-0.023,,,0.445,0.149,-0.114,0.3001,-0.62,514.98,22.35
Oman,70,-0.141,,0.0124,0.0113,0.072,-0.171,0.092,-15.4,0.38,4.15
Dominican Republic,67,0.058,-0.0218,0.055,0.017,0.14,0.0015,0.4561,-1.9,46.37,9.98
Uzbekistan,67,0.078,,0.09,0.057,0.107,-0.001,0.11,0.3,3250,31.19
Guatemala,64,0.034,,0.03,0.0423,0.031,-0.014,0.2473,-0.3,7.53,16.18
Myanmar,63,0.07,,0.1,0.1089,0.0402,-0.047,0.3204,-8.9,1354,53.9
Kenya,63,0.057,0.001,0.1,0.0635,0.4,-0.081,0.528,-11.4,103.75,44.4
Ethiopia,62,0.096,,0.05,0.067,0.168,-0.02,0.321,-5.9,22.4,99.39
Luxembourg,58,0.048,-0.001,0,0.011,0.062,0.012,0.214,4.8,1.07,0.58
Belarus,55,-0.034,,0.17,0.106,0.01,0.018,0.29,-3.8,19560,9.5
Azerbaijan,53,-0.039,,0.15,0.124,0.05,-0.012,0.16,0.4,1.8,9.59
Uruguay,53,0.02,0.011,0.0925,0.081,0.077,-0.021,0.478,-3.6,28.68,3.47
Panama,52,0.048,,0.0048,0.015,0.056,-0.039,0.391,-6.5,1,3.91
Costa Rica,51,0.0399,0.0115,0.0175,0.0077,0.097,-0.056,0.6211,-4.2,545,4.85
Bulgaria,50,0.034,0.007,0,0.001,0.079,-0.021,0.291,1.2,1.83,7.15
Croatia,49,0.029,0.017,0.025,0.002,0.144,-0.032,0.867,4.2,7,4.23
Lebanon,47,0.01,,0.1,0.0178,0.064,0.0535,1.39,-25,1504,4.65
Macau,46,0.04,,0.01,0.0153,0.019,,,38,7.99,0.64
Tanzania,46,0.062,0.015,0.12,0.05,0.103,-0.051,0.399,-9.1,2227,50.14
Tunisia,43,0.013,0.002,0.0425,0.042,0.155,-0.037,0.475,-7.6,2.31,11.15
Slovenia,43,0.027,0.01,0,0.005,0.104,-0.029,0.832,6.9,1.07,2.06
Lithuania,41,0.017,0.001,0,0.017,0.085,-0.002,0.427,-2.5,1.07,2.92
Jordan,38,0.018,,0.0375,0.008,0.158,-0.035,0.934,-9,0.71,9.53
Ghana,38,0.04,0.006,0.255,0.154,0.052,-0.067,0.676,-7.5,4.23,27.41
Yemen,38,-0.281,,0.15,0.0949,0.29,-0.08,0.4995,-4.5,249.95,26.83
Serbia,37,0.026,0,0.04,0.016,0.138,-0.029,0.734,-4.8,115.74,7.11
Turkmenistan,36,0.062,,,0.07,0.105,-0.01,0.365,-11.8,3.4,5.37
Congo,35,0.025,,0.14,0.112,0.461,-0.062,0.1969,-4.1,1224,71.4
Bolivia,33,0.0324,-0.0056,0.0221,0.04,0.074,-0.0254,0.397,-6.5,6.86,10.83
Ivory Coast,32,0.099,,0.045,-0.002,0.053,-0.004,0.282,-2.5,612.59,22.67
Bahrain,31,0.039,0.017,0.01,0.019,0.037,-0.05,0.42,3.3,0.38,1.37
Libya,29,-0.06,,0.03,0.274,0.195,-0.546,0.153,-17.5,1.43,6.28
Paraguay,28,0.05,0.005,0.055,0.039,0.069,-0.015,0.197,-1.7,5785,6.76
Cameroon,28,0.037,0.003,0.0245,0.0055,0.04,-0.064,0.199,-4.3,611.86,23.34
Trinidad and Tobago,28,-0.08,-0.028,0.0475,0.026,0.044,-0.042,0.456,-0.4,6.69,1.36
Latvia,27,0.003,0.002,0,0.022,0.095,-0.013,0.364,-1.9,1.07,1.99
El Salvador,26,0.0251,0.0013,0.0446,-0.0094,0.07,-0.0343,0.6416,-3.6,8.72,6.13
Estonia,22,0.013,0.002,0,0.022,0.075,0.004,0.097,1.9,1.07,1.32
Zambia,22,0.036,,0.155,0.075,0.133,-0.081,0.31,-3,9.9,15.47
Uganda,21,0.0175,-0.002,0.12,0.057,0.038,-0.036,0.344,-9.1,3602,39.03
Nepal,21,0.0077,,0.07,0.048,0.03,-0.017,0.274,6.2,108.35,28.51
Honduras,20,0.036,,0.055,0.0304,0.073,-0.044,0.4406,-6.4,23.53,8.58
Cyprus,19,0.029,0.007,0,-0.003,0.142,-0.01,1.089,-4.8,1.07,0.85
Afghanistan,19,0.021,,0.15,0.046,0.4,-0.007,0.066,-22,66.69,27.1
Cambodia,18,0.072,,0.0145,0.0335,0.005,-0.024,0.323,-9.4,3991.3,15.6
Iceland,17,0.102,0.047,0.05,0.019,0.029,-0.005,0.685,4.2,112.6,0.33
Papua New Guinea,17,0.09,,0.0625,0.068,0.025,-0.032,0.358,4.6,3.19,7.62
Bosnia and Herzegovina,16,0.025,0.006,0.0569,-0.004,0.4105,0.007,0.309,-5.6,1.83,3.83
Mozambique,15,0.037,0.002,0.2325,0.2527,0.17,-0.111,0.554,-40.4,70.72,27.98
Senegal,14,0.06,-0.017,0.045,0.021,0.134,-0.045,0.442,-8.1,612.59,15.13
Jamaica,14,0.02,0.009,0.05,0.017,0.129,-0.007,1.284,-2.3,128.58,2.79
Botswana,14,0.045,-0.008,0.055,0.03,0.2,0.002,0.227,7.1,10.59,2.26
Georgia,14,0.023,,0.065,0.018,0.12,-0.037,0.431,-11.8,2.64,3.72
Gabon,14,0.042,,0.0245,0.0209,0.203,-0.021,0.341,-8.1,611.86,1.73
Zimbabwe,14,0.015,,0.1068,-0.0093,0.113,-0.017,0.77,-17.8,,15.6
Brunei,13,-0.038,,0.055,-0.008,0.069,-0.14,0.028,6.5,1.41,0.42
Mali,13,0.054,,0.045,-0.007,0.082,-0.036,,-3.6,612.59,17.6
Nicaragua,13,0.043,,,0.031,0.068,-0.016,0.453,-8.2,29.39,6.26
